1,5008.4375
2,2504.21875
3,1670.3139062500002
4,1252.109375
5,1251.6874999999998
6,1253.9090625000001
7,1252.4565625000002
8,1251.0546875000002
9,1255.3157812499999
10,1250.84375
11,1252.0178125000002
12,1253.2045312500002
13,1251.8996874999998
14,1251.8756250000001
15,1256.878125
16,1250.625
17,1254.3768750000002
18,1260.6299999999999
19,1259.3793750000002
20,1250.6249999999998
21,1260.63
22,1251.8756250000001
23,1251.2503125
24,1260.63
25,1250.625
26,1251.875625
27,1266.2578125000002
28,1260.63
29,1251.2503125000003
30,1256.878125
31,1260.0046875
32,1260.63
33,1258.7540625
34,1254.3768750000002
35,1269.384375
36,1260.6299999999999
37,1272.5109375
38,1259.3793750000002
39,1268.13375
40,1250.6249999999998
41,1256.2528125
42,1260.63
43,1263.7565625
44,1265.6325
45,1266.2578125000002
46,1265.6325
47,1263.7565625
48,1260.63
49,1256.2528125
